Numer pojazdu,Nazwa pojazdu,Numer rejestracyjny,Numer kierowcy,Nazwisko kierowcy,ID pracownika,Czas rozpoczęcia,Przesunięcie strefy czasowej,Strefa czasowa,Status,Szerokość geograficzna,Długość geograficzna,Adres,Miasto,Województwo,Kod pocztowy,Prędkość,Ograniczenie prędkości,Nagłówek,Drogomierz,Czas delta,Czas delta (w sekundach),Odległość Delta,Zakumulowany czas,Łączny czas (w sekundach),Zakumulowana odległość,Numery ID miejsca,Nazwy miejsca,Zapłon,Dzienna zakumulowana odległość,ESN,Jest zasobem,Typ paliwa
1,1. Berlingo Serwis,PP4502N,,,,2023-02-04 19:04:10,1,CET,Zakłócenia zasilania,53.172168,18.054712,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,0,,Północny zachód,109893,00m 00S,0,0,00m 00S,0,0,,,Zapłon wyłączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-13 19:44:31,1,CET,Odzyskano zasilanie,53.172018,18.055045,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,0,,Północ,109893,216G 40m 21S,780021,0,216G 40m 21S,780021,0,,,Zapłon wyłączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 19:50:21,1,CET,Zapłon włączony,53.172172,18.054803,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Wschód,109893,24G 05m 50S,86750,0,24G 05m 50S,86750,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 19:50:26,1,CET,Zapłon wyłączony,53.172172,18.054803,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Wschód,109893,00m 00S,0,0,24G 05m 50S,86750,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 19:50:28,1,CET,Zapłon włączony,53.172172,18.054803,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Wschód,109893,00m 02S,2,0,24G 05m 52S,86752,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 19:50:36,1,CET,Zapłon wyłączony,53.172172,18.054803,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Wschód,109893,00m 00S,0,0,24G 05m 52S,86752,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 19:50:39,1,CET,Zapłon włączony,53.172172,18.054803,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Wschód,109893,00m 03S,3,0,24G 05m 55S,86755,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 19:50:45,1,CET,Zapłon wyłączony,53.172172,18.054803,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Wschód,109893,00m 00S,0,0,24G 05m 55S,86755,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 19:50:51,1,CET,Zakłócenia zasilania,53.172172,18.054803,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,0,,Wschód,109893,00m 06S,6,0,24G 06m 01S,86761,0,,,Zapłon wyłączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-02-14 20:00:32,1,CET,Odzyskano zasilanie,53.172135,18.054913,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,0,,Północ,109893,09m 41S,581,0,24G 15m 42S,87342,0,,,Zapłon wyłączony,0,862261042708904,0,Nie ustawiono
