Numer pojazdu,Nazwa pojazdu,Numer rejestracyjny,Numer kierowcy,Nazwisko kierowcy,ID pracownika,Czas rozpoczęcia,Przesunięcie strefy czasowej,Strefa czasowa,Status,Szerokość geograficzna,Długość geograficzna,Adres,Miasto,Województwo,Kod pocztowy,Prędkość,Ograniczenie prędkości,Nagłówek,Drogomierz,Czas delta,Czas delta (w sekundach),Odległość Delta,Zakumulowany czas,Łączny czas (w sekundach),Zakumulowana odległość,Numery ID miejsca,Nazwy miejsca,Zapłon,Dzienna zakumulowana odległość,ESN,Jest zasobem,Typ paliwa
1,1. Berlingo Serwis,PP4502N,,,,2023-04-13 21:30:35,1,CET,Zakłócenia zasilania,53.17216,18.055342,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,0,,Południowy zachód,112865,00m 00S,0,0,00m 00S,0,0,,,Zapłon wyłączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 14:40:09,1,CET,Odzyskano zasilanie,53.17227,18.054557,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,0,,Północ,112865,257G 09m 34S,925774,0,257G 09m 34S,925774,0,,,Zapłon wyłączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 14:46:06,1,CET,Zakłócenia zasilania,53.172253,18.054688,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,0,,Północ,112865,05m 57S,357,0,257G 15m 31S,926131,0,,,Zapłon wyłączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:23:12,1,CET,Zapłon włączony,53.172213,18.055298,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,,,Północ,112865,6G 37m 06S,23826,0,263G 52m 37S,949957,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:23:13,1,CET,Odzyskano zasilanie,53.172213,18.055298,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,0,,Północ,112865,00m 01S,1,0,263G 52m 38S,949958,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:23:14,1,CET,Zapłon włączony,53.172208,18.055317,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,,,Północ,112865,00m 01S,1,0,263G 52m 39S,949959,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:23:14,1,CET,Zapłon wyłączony,53.172213,18.055298,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,,,Północ,112865,00m 00S,0,0,263G 52m 39S,949959,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:23:44,1,CET,Zapłon włączony,53.172208,18.055317,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,,,Północ,112865,00m 30S,30,0,263G 53m 09S,949989,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:23:45,1,CET,Start biegu jałowego,53.172208,18.055317,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,,,Północ,112865,00m 01S,1,0,263G 53m 10S,949990,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:25:09,1,CET,Koniec biegu jałowego,53.172208,18.055317,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,0,,Północ,112865,00m 25S,25,0,263G 53m 35S,950015,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:25:10,1,CET,Zapłon wyłączony,53.172208,18.055317,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,,,Północ,112865,00m 00S,0,0,263G 53m 35S,950015,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:25:11,1,CET,Zapłon włączony,53.172208,18.055317,"Aleja Armii Krajowej 250a, 85-689 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,85-689,,,Północ,112865,00m 01S,1,0,263G 53m 36S,950016,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-24 21:25:24,1,CET,Zapłon wyłączony,53.17222,18.055115,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północ,112865,00m 00S,0,0,263G 53m 36S,950016,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:02:30,1,CET,Zapłon włączony,53.172378,18.054782,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,8G 37m 06S,31026,0,8G 37m 06S,31026,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:02:37,1,CET,Zapłon wyłączony,53.172392,18.054787,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,00m 00S,0,0,8G 37m 06S,31026,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:04:54,1,CET,Zapłon włączony,53.17232,18.054868,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,02m 17S,137,0,8G 39m 23S,31163,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:05:24,1,CET,Start biegu jałowego,53.172248,18.05472,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,00m 30S,30,0,8G 39m 53S,31193,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:05:28,1,CET,Koniec biegu jałowego,53.172248,18.054712,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,1,,Północny zachód,112865,00m 04S,4,0,8G 39m 57S,31197,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:05:28,1,CET,Zapłon wyłączony,53.172248,18.054712,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,00m 00S,0,0,8G 39m 57S,31197,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:05:49,1,CET,Zapłon włączony,53.172247,18.054727,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,00m 21S,21,0,8G 40m 18S,31218,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:05:54,1,CET,Zapłon wyłączony,53.172247,18.054727,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,00m 00S,0,0,8G 40m 18S,31218,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:05:57,1,CET,Zapłon włączony,53.172245,18.054702,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,00m 03S,3,0,8G 40m 21S,31221,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:05:58,1,CET,Zakłócenia zasilania,53.172245,18.054698,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,1,,Północny zachód,112865,00m 01S,1,0,8G 40m 22S,31222,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:06:06,1,CET,Odzyskano zasilanie,53.172235,18.054735,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,1,,Północny zachód,112865,00m 08S,8,0,8G 40m 30S,31230,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 06:06:08,1,CET,Zapłon wyłączony,53.172235,18.054735,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północny zachód,112865,00m 02S,2,0,8G 40m 32S,31232,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 21:15:32,1,CET,Zapłon włączony,53.171992,18.05488,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Południowy wschód,112865,15G 09m 24S,54564,0,23G 49m 56S,85796,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
1,1. Berlingo Serwis,PP4502N,,,,2023-04-25 21:16:23,1,CET,Zapłon wyłączony,53.172292,18.055047,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,Kujawsko-Pomorskie,86-031,,,Północ,112865,00m 21S,21,0,23G 50m 17S,85817,0,,,Zapłon włączony,0,862261042708904,0,Nie ustawiono
